sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,123.59548251788549,nm,123.57611875813686,37.242895515972236,103.40285495871416,0.3013761549580953,5.0
ceramic,ISO/profile,Rz,1054.980596439321,nm,571.6592553988719,142.0378548916656,394.36030696676016,0.24846594111829698,5.0
ceramic,ISO/roundness,RONt,1077.4002431832987,nm,567.4327113689175,143.95083337165988,399.67158670388903,0.25368793600986106,5.0
ceramic,Banach,L1 mean,123.59548251788549,nm,123.57611875813686,37.242895515972236,103.40285495871416,0.3013761549580953,5.0
ceramic,Banach,L2 RMS,171.91355922045813,nm,148.17221221856494,43.58674530592782,121.01620565614643,0.29416274923151015,5.0
ceramic,Banach,L infinity,537.6807055190019,nm,301.4135068675934,71.01423165403097,197.16711587521687,0.2356040125475415,5.0
ceramic,Banach,BV total variation,9653.030321471906,nm,1773.588362728533,351.6328728956111,976.2893687776592,0.19826070145986427,5.0
ceramic,Banach,BV density,19.34475014323027,nm/sample,17.91503396695488,3.5518472009657684,9.86150877553191,0.1982607014598642,5.0
ceramic,Banach,W12 gradient,28.22691284228945,nm/sample,22.910751690943922,4.114104580760264,11.422585525523678,0.1795709122187585,5.0
steel,ISO/profile,Ra,604.391588356781,nm,472.22617652048365,140.34380794722077,389.656878619881,0.2971961634598905,5.0
steel,ISO/profile,Rz,3489.1039966567796,nm,1984.3701602549943,597.3688021961375,1658.561686855338,0.30103698098311193,5.0
steel,ISO/step,step depth,172.55449933877617,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,604.391588356781,nm,472.22617652048365,140.34380794722077,389.656878619881,0.2971961634598905,5.0
steel,Banach,L2 RMS,770.6483686592483,nm,550.1070693244312,166.53779867937988,462.3830559737807,0.3027370633209633,5.0
steel,Banach,L infinity,2030.751923032347,nm,1161.5864137533704,353.22899379792904,980.7209108442037,0.3040918778109324,5.0
steel,Banach,BV total variation,18955.180955896503,nm,2823.452484369964,527.4927797733347,1464.5547464288557,0.1868254495846568,5.0
steel,Banach,BV density,37.98633458095492,nm/sample,28.519722064343068,5.328209896700351,14.793482287160158,0.18682544958465683,5.0
steel,Banach,W12 gradient,123.3645487747225,nm/sample,43.60863017285849,6.512965778635267,18.082891956412656,0.14935038667389425,5.0
